"Status" "Duration" "History" "Purpose" "Amount" "Savings" "Employment" "Disposable" "Personal" "OtherParties" "Residence" "Property" "Age" "Plans" "Housing" "Existing" "Job" "Dependants" "Telephone" "Foreign" "CreditScore"
"None" 60 "E" "NewCar" 13756 "Unknown" "VeryLong" 2 "M:Single" "None" 4 "None" 63 "Bank" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 600.56837504256
"Small" 60 "B" "Other" 14782 "Medium" "VeryLong" 3 "F:DivSepMar" "None" 4 "None" 60 "Bank" "RentFree" 2 "Management:Self" 1 "Yes" "Yes" 343.789143113503
"Negative" 48 "B" "Business" 7685 "Low" "Long" 2 "F:DivSepMar" "Guarantor" 4 "Car" 37 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 429.962385314233
"None" 18 "D" "Television" 2320 "Low" "Unemployed" 2 "F:Single" "None" 3 "House" 34 "None" "Own" 2 "Skilled" 1 "No" "Yes" 637.477311677296
"None" 7 "D" "Television" 846 "Unknown" "VeryLong" 3 "M:Single" "None" 4 "None" 36 "None" "RentFree" 1 "Skilled" 1 "No" "Yes" 692.508265294984
"Small" 36 "C" "NewCar" 14318 "Low" "VeryLong" 4 "M:Single" "None" 2 "None" 57 "None" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 506.43362529518
"None" 6 "E" "NewCar" 362 "Medium" "Medium" 4 "F:DivSepMar" "None" 4 "Car" 52 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 631.57210413776
"Small" 18 "C" "UsedCar" 12976 "Low" "Unemployed" 3 "F:DivSepMar" "None" 4 "None" 38 "None" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 513.196178945809
"Large" 12 "C" "NewCar" 1330 "Low" "Short" 4 "M:Single" "None" 1 "House" 26 "None" "Own" 1 "Skilled" 1 "No" "Yes" 481.058899463079
"None" 18 "C" "Television" 1126 "Unknown" "Short" 4 "F:DivSepMar" "None" 2 "House" 21 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 670.938487215106
"Small" 18 "E" "Furniture" 7374 "Low" "Unemployed" 4 "M:Single" "None" 4 "Savings" 40 "Stores" "Own" 2 "Management:Self" 1 "Yes" "Yes" 448.506162299233
"Small" 15 "E" "Business" 2326 "Large" "Medium" 2 "M:Single" "None" 4 "Car" 27 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 524.457807573009
"None" 9 "C" "Business" 1449 "Low" "Long" 3 "F:DivSepMar" "None" 2 "Car" 27 "None" "Own" 2 "Skilled" 1 "No" "Yes" 617.143364650655
"None" 18 "C" "NewCar" 1820 "Low" "Medium" 2 "F:Single" "None" 2 "Savings" 30 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 610.797820439901
"None" 9 "E" "Furniture" 2406 "Low" "Unemployed" 2 "M:Single" "None" 3 "Car" 31 "None" "Own" 1 "Management:Self" 1 "No" "Yes" 727.772205172986
"Small" 39 "D" "Education" 11760 "Medium" "Long" 2 "M:Single" "None" 3 "None" 32 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 331.590845984752
"Negative" 12 "C" "Furniture" 2578 "Low" "Unemployed" 3 "F:DivSepMar" "None" 4 "None" 55 "None" "RentFree" 1 "Management:Self" 1 "No" "Yes" 555.536556387982
"Negative" 36 "E" "Furniture" 2348 "Low" "Medium" 3 "F:Single" "None" 2 "Savings" 46 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 534.672107121766
"Small" 12 "C" "NewCar" 1223 "Low" "VeryLong" 1 "M:DivSepMar" "None" 1 "House" 46 "None" "Rent" 2 "Skilled" 1 "No" "Yes" 609.416560518764
"None" 24 "E" "Television" 1516 "VeryLarge" "Medium" 4 "F:DivSepMar" "None" 1 "House" 43 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 683.300231103102
"None" 18 "C" "Television" 1473 "Low" "Short" 3 "F:Single" "None" 4 "House" 39 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 678.741476082782
"Small" 18 "E" "Business" 1887 "Unknown" "Medium" 4 "F:Single" "None" 4 "House" 28 "Bank" "Own" 2 "Skilled" 1 "No" "Yes" 562.944003257563
"None" 24 "D" "Business" 8648 "Low" "Short" 2 "M:Single" "None" 2 "Car" 27 "Bank" "Own" 2 "Skilled" 1 "Yes" "Yes" 517.854918931279
"None" 14 "D" "NewCar" 802 "Low" "Medium" 4 "M:Single" "None" 2 "Car" 27 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 553.996010704197
"Small" 18 "D" "NewCar" 2899 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "Car" 43 "None" "Own" 1 "Skilled" 2 "No" "Yes" 549.686232114297
"Small" 24 "C" "Television" 2039 "Low" "Short" 1 "F:Single" "None" 1 "Savings" 22 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 532.230121838373
"None" 24 "E" "UsedCar" 2197 "Unknown" "Long" 4 "M:Single" "None" 4 "Car" 43 "None" "Own" 2 "Skilled" 2 "Yes" "Yes" 727.220304020526
"Negative" 15 "C" "Television" 1053 "Low" "Short" 4 "F:Single" "None" 2 "House" 27 "None" "Own" 1 "Skilled" 1 "No" "No" 584.579832669082
"None" 24 "C" "Television" 3235 "Large" "VeryLong" 3 "M:DivSepMar" "None" 2 "Car" 26 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 597.527603667636
"None" 33 "E" "UsedCar" 7253 "Low" "Long" 3 "M:Single" "None" 2 "Car" 35 "None" "Own" 2 "Management:Self" 1 "Yes" "Yes" 663.437163088823
"None" 12 "E" "Business" 2292 "Low" "Unemployed" 4 "M:Single" "None" 2 "Car" 42 "Stores" "Own" 2 "Management:Self" 1 "Yes" "Yes" 653.751007759655
"None" 10 "C" "NewCar" 1597 "Large" "Medium" 3 "M:Single" "None" 2 "None" 40 "None" "Rent" 1 "Unskilled" 2 "No" "No" 646.505532031193
"None" 36 "E" "UsedCar" 5842 "Low" "VeryLong" 2 "M:Single" "None" 2 "Savings" 35 "None" "Own" 2 "Skilled" 2 "Yes" "Yes" 710.905203205746
"Negative" 12 "C" "NewCar" 2579 "Low" "Short" 4 "M:Single" "None" 1 "House" 33 "None" "Own" 1 "Unskilled" 2 "No" "Yes" 475.140219080475
"Negative" 18 "D" "Education" 8471 "Unknown" "Medium" 1 "F:DivSepMar" "None" 2 "Car" 23 "None" "Rent" 2 "Skilled" 1 "Yes" "Yes" 483.934648557943
"None" 21 "C" "NewCar" 2782 "Large" "Long" 1 "F:DivSepMar" "None" 2 "Car" 31 "Bank" "Own" 1 "Management:Self" 1 "No" "Yes" 518.282326387115
"Small" 18 "C" "NewCar" 1042 "Unknown" "Medium" 4 "F:DivSepMar" "None" 2 "Savings" 33 "None" "Own" 1 "Skilled" 1 "No" "Yes" 508.168563695075
"Small" 12 "C" "UsedCar" 2028 "Unknown" "Medium" 4 "M:Single" "None" 2 "Car" 30 "None" "Own" 1 "Skilled" 1 "No" "Yes" 635.747716921797
"Small" 12 "E" "NewCar" 958 "Low" "Long" 2 "M:Single" "None" 3 "House" 47 "None" "Own" 2 "Unskilled" 2 "No" "Yes" 538.501349566892
"Small" 12 "C" "Furniture" 2762 "Unknown" "VeryLong" 1 "F:DivSepMar" "None" 2 "Savings" 25 "Bank" "Own" 1 "Skilled" 1 "Yes" "Yes" 610.552136068717
"Small" 18 "C" "UsedCar" 2779 "Low" "Medium" 1 "F:Single" "None" 3 "Car" 21 "None" "Rent" 1 "Skilled" 1 "Yes" "Yes" 563.042068441032
"None" 18 "E" "Television" 1149 "VeryLarge" "Medium" 4 "M:Single" "None" 3 "House" 46 "None" "Own" 2 "Skilled" 1 "No" "Yes" 720.978306319537
"None" 9 "C" "Furniture" 1313 "Low" "VeryLong" 1 "M:Single" "None" 4 "Car" 20 "None" "Own" 1 "Skilled" 1 "No" "Yes" 683.532645605263
"Negative" 18 "E" "Repairs" 1190 "Low" "Unemployed" 2 "F:DivSepMar" "None" 4 "None" 55 "None" "RentFree" 3 "Unemployed" 2 "No" "Yes" 549.738078164511
"Small" 24 "C" "Other" 11328 "Low" "Medium" 2 "M:Single" "Coapp" 3 "Car" 29 "Bank" "Own" 2 "Management:Self" 1 "Yes" "Yes" 490.188701351648
"Negative" 6 "E" "Furniture" 1872 "Low" "Unemployed" 4 "M:Single" "None" 4 "None" 36 "None" "RentFree" 3 "Management:Self" 1 "Yes" "Yes" 617.830518943848
"Negative" 9 "C" "Furniture" 2136 "Low" "Medium" 3 "M:Single" "None" 2 "House" 25 "None" "Own" 1 "Skilled" 1 "No" "Yes" 617.716307990836
"None" 6 "C" "Repairs" 660 "Large" "Long" 2 "F:Single" "None" 4 "House" 23 "None" "Rent" 1 "Unskilled" 1 "No" "Yes" 614.275278710342
"Large" 12 "B" "Business" 609 "Low" "Short" 4 "F:DivSepMar" "None" 1 "House" 26 "None" "Own" 1 "Unemployed" 1 "No" "Yes" 580.270186526863
"Negative" 12 "C" "Furniture" 1620 "Low" "Medium" 2 "F:DivSepMar" "Coapp" 3 "Savings" 30 "None" "Own" 1 "Skilled" 1 "No" "Yes" 502.253890524728
"None" 12 "C" "Education" 719 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 41 "Bank" "Own" 1 "Unskilled" 2 "No" "Yes" 560.618001721503
"Small" 48 "E" "Furniture" 5096 "Low" "Medium" 2 "F:DivSepMar" "None" 3 "Car" 30 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 563.379958921357
"Negative" 36 "C" "NewCar" 1842 "Low" "Short" 4 "F:DivSepMar" "None" 4 "Car" 34 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 348.823381503863
"Small" 7 "C" "Television" 2576 "Low" "Medium" 2 "M:Single" "Guarantor" 2 "House" 35 "None" "Own" 1 "Skilled" 1 "No" "Yes" 629.333056918374
"Large" 12 "C" "Furniture" 1424 "Unknown" "VeryLong" 3 "F:DivSepMar" "None" 4 "House" 55 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 587.394030497247
"Small" 15 "D" "Repairs" 1512 "VeryLarge" "Medium" 3 "F:Single" "None" 3 "Savings" 61 "Stores" "Own" 2 "Skilled" 1 "No" "Yes" 623.713490235171
"None" 6 "C" "Television" 518 "Low" "Medium" 3 "F:DivSepMar" "None" 1 "House" 29 "None" "Own" 1 "Skilled" 1 "No" "Yes" 636.811359552192
"None" 24 "C" "UsedCar" 2670 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 35 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 627.590464094747
"Negative" 24 "C" "NewCar" 4817 "Low" "Long" 2 "M:Single" "Coapp" 3 "Savings" 31 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 479.176853641583
"Negative" 11 "E" "NewCar" 3905 "Low" "Medium" 2 "M:Single" "None" 2 "House" 36 "None" "Rent" 2 "Skilled" 2 "No" "Yes" 578.414227188585
"Negative" 12 "C" "UsedCar" 3386 "Low" "VeryLong" 3 "M:Single" "None" 4 "None" 35 "None" "RentFree" 1 "Skilled" 1 "Yes" "Yes" 610.443497993077
"Negative" 6 "C" "Domestic" 343 "Low" "Short" 4 "F:DivSepMar" "None" 1 "House" 27 "None" "Own" 1 "Skilled" 1 "No" "Yes" 518.829265686502
"None" 18 "C" "Television" 4594 "Low" "Short" 3 "M:Single" "None" 2 "Car" 32 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 600.792235110207
"Negative" 15 "C" "NewCar" 1721 "Low" "Short" 2 "M:Single" "None" 3 "House" 36 "None" "Own" 1 "Skilled" 1 "No" "Yes" 541.15190307939
"Small" 12 "C" "Furniture" 3017 "Low" "Short" 3 "F:DivSepMar" "None" 1 "House" 34 "None" "Rent" 1 "Management:Self" 1 "No" "Yes" 492.513121415715
"None" 18 "C" "Business" 1950 "Low" "Long" 4 "M:Single" "None" 1 "Car" 34 "Stores" "Own" 2 "Skilled" 1 "Yes" "Yes" 570.413034567522
"Negative" 24 "D" "Television" 1659 "Low" "Short" 4 "F:DivSepMar" "None" 2 "Car" 29 "None" "Rent" 1 "Unskilled" 1 "Yes" "Yes" 534.530228502737
"None" 48 "D" "Television" 7238 "Unknown" "VeryLong" 3 "M:Single" "None" 3 "Car" 32 "Bank" "Own" 2 "Skilled" 2 "No" "Yes" 601.651228991929
"None" 33 "D" "Business" 2764 "Low" "Medium" 2 "F:DivSepMar" "None" 2 "Car" 26 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 615.612196944232
"None" 24 "D" "UsedCar" 4679 "Low" "Long" 3 "M:Single" "None" 3 "Car" 35 "None" "Own" 2 "Unskilled" 1 "Yes" "Yes" 613.425411980733
"Negative" 6 "C" "Education" 448 "Low" "Short" 4 "F:DivSepMar" "None" 4 "Savings" 23 "None" "Own" 1 "Skilled" 1 "No" "Yes" 440.057161146828
"Negative" 9 "C" "NewCar" 654 "Low" "Medium" 4 "M:Single" "None" 3 "Car" 28 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 600.221479045162
"None" 6 "C" "Training" 1238 "Unknown" "Unemployed" 4 "M:Single" "None" 4 "Savings" 36 "None" "Own" 1 "Management:Self" 2 "Yes" "Yes" 769.646796467265
"Small" 18 "E" "Television" 1245 "Low" "Medium" 4 "F:Single" "None" 2 "Car" 33 "None" "Own" 1 "Skilled" 1 "No" "Yes" 622.160773650525
"Negative" 18 "A" "Furniture" 3114 "Low" "Short" 1 "F:DivSepMar" "None" 4 "Savings" 26 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 482.767491930844
"Large" 24 "C" "Television" 5152 "Low" "Long" 4 "M:Single" "None" 2 "Car" 25 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 485.449576141909
"Small" 12 "C" "Business" 1037 "Medium" "Long" 3 "M:Single" "None" 4 "House" 39 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 570.199074610502
"Negative" 15 "E" "Furniture" 1478 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 44 "None" "Own" 2 "Skilled" 2 "Yes" "Yes" 660.148442127313
"Small" 12 "E" "Television" 3573 "Low" "Medium" 1 "F:DivSepMar" "None" 1 "House" 23 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 606.91877788604
"Small" 24 "C" "NewCar" 1201 "Low" "Short" 4 "M:Single" "None" 1 "Savings" 26 "None" "Own" 1 "Skilled" 1 "No" "Yes" 509.229312852725
"Negative" 30 "C" "Furniture" 3622 "VeryLarge" "VeryLong" 4 "F:DivSepMar" "None" 4 "Savings" 57 "None" "Rent" 2 "Skilled" 1 "Yes" "Yes" 540.260263337683
"None" 15 "D" "Furniture" 960 "VeryLarge" "Long" 3 "F:DivSepMar" "None" 2 "Savings" 30 "None" "Own" 2 "Skilled" 1 "No" "Yes" 748.655406812849
"Small" 6 "D" "NewCar" 1209 "Low" "Unemployed" 4 "M:Single" "None" 4 "Savings" 47 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 639.771910845883
"None" 12 "C" "Television" 3077 "Low" "Medium" 2 "M:Single" "None" 4 "Car" 52 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 564.159075465818
"None" 24 "C" "NewCar" 3757 "Low" "VeryLong" 4 "F:DivSepMar" "Coapp" 4 "None" 62 "None" "RentFree" 1 "Skilled" 1 "Yes" "Yes" 604.656283524383
"None" 10 "C" "NewCar" 1418 "Medium" "Medium" 3 "M:Single" "None" 2 "House" 35 "None" "Rent" 1 "Unskilled" 1 "No" "No" 654.959627296784
"None" 6 "C" "NewCar" 3518 "Low" "Medium" 2 "M:Single" "Guarantor" 3 "Savings" 26 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 570.427242718761
"None" 12 "E" "Television" 1934 "Low" "VeryLong" 2 "M:Single" "None" 2 "None" 26 "None" "Own" 2 "Skilled" 1 "No" "Yes" 770.274363583166
"Small" 27 "A" "Business" 8318 "Low" "VeryLong" 2 "F:DivSepMar" "None" 4 "None" 42 "None" "RentFree" 2 "Management:Self" 1 "Yes" "Yes" 546.748473905353
"Small" 6 "C" "Television" 368 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "Savings" 38 "None" "Own" 1 "Skilled" 1 "No" "Yes" 594.581254458118
"Negative" 12 "E" "NewCar" 2122 "Low" "Medium" 3 "M:Single" "None" 2 "House" 39 "None" "Rent" 2 "Unskilled" 2 "No" "No" 639.220734273561
"Small" 36 "C" "Furniture" 9034 "Medium" "Short" 4 "M:Single" "Coapp" 1 "None" 29 "None" "Rent" 1 "Management:Self" 1 "Yes" "Yes" 458.427404392879
"None" 24 "E" "Furniture" 1585 "Low" "Long" 4 "M:Single" "None" 3 "Savings" 40 "None" "Own" 2 "Skilled" 1 "No" "Yes" 711.900841867875
"Small" 18 "C" "Television" 1301 "Low" "VeryLong" 4 "F:Single" "Guarantor" 2 "House" 32 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 605.623125490007
"Negative" 24 "C" "NewCar" 3123 "Low" "Short" 4 "F:DivSepMar" "None" 1 "Savings" 27 "None" "Own" 1 "Skilled" 1 "No" "Yes" 490.598594010221
"Small" 24 "E" "Television" 1216 "Medium" "Short" 4 "M:Single" "None" 4 "None" 38 "Bank" "Own" 2 "Skilled" 2 "No" "Yes" 578.219742661309
"Negative" 24 "C" "NewCar" 1207 "Low" "Short" 4 "F:DivSepMar" "None" 4 "Savings" 24 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 402.80741992524
"None" 10 "C" "NewCar" 1309 "Unknown" "Medium" 4 "M:Single" "Guarantor" 4 "Savings" 27 "None" "Own" 1 "Unskilled" 1 "No" "Yes" 691.605215656559
"Small" 15 "B" "NewCar" 6850 "Medium" "Unemployed" 1 "M:Single" "None" 2 "Savings" 34 "None" "Own" 1 "Management:Self" 2 "Yes" "Yes" 499.315510115148
"None" 24 "C" "Television" 1413 "Low" "Medium" 4 "F:Single" "None" 2 "Savings" 28 "None" "Own" 1 "Skilled" 1 "No" "Yes" 587.390809067921
"None" 39 "C" "UsedCar" 8588 "Medium" "VeryLong" 4 "M:Single" "None" 2 "Car" 45 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 647.721075631223
"None" 36 "C" "UsedCar" 4686 "Low" "Medium" 2 "M:Single" "None" 2 "None" 32 "None" "RentFree" 1 "Management:Self" 1 "Yes" "Yes" 657.736957853507
"Small" 12 "D" "Television" 585 "Low" "Medium" 4 "F:Single" "Coapp" 4 "House" 20 "None" "Rent" 2 "Skilled" 1 "No" "Yes" 558.546451424126
"None" 24 "C" "NewCar" 2255 "Unknown" "Short" 4 "M:Single" "None" 1 "Savings" 54 "None" "Own" 1 "Skilled" 1 "No" "Yes" 680.59722966648
"Negative" 6 "E" "NewCar" 609 "Low" "Long" 4 "F:DivSepMar" "None" 3 "Savings" 37 "None" "Own" 2 "Skilled" 1 "No" "No" 699.491313968388
"Negative" 6 "E" "NewCar" 1361 "Low" "Short" 2 "M:Single" "None" 4 "House" 40 "None" "Own" 1 "Unskilled" 2 "No" "No" 621.039177687543
"None" 36 "E" "Furniture" 7127 "Low" "Short" 2 "F:DivSepMar" "None" 4 "Savings" 23 "None" "Rent" 2 "Skilled" 1 "Yes" "Yes" 635.643743699418
"Negative" 6 "C" "NewCar" 1203 "Medium" "VeryLong" 3 "M:Single" "None" 2 "Savings" 43 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 590.093827338982
"None" 6 "E" "Television" 700 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "None" 36 "None" "RentFree" 2 "Skilled" 1 "No" "Yes" 718.882476748978
"None" 24 "E" "Repairs" 5507 "Low" "VeryLong" 3 "M:Single" "None" 4 "None" 44 "None" "RentFree" 2 "Skilled" 1 "No" "Yes" 567.591019609062
"Negative" 48 "A" "Furniture" 7119 "Low" "Medium" 3 "M:Single" "None" 4 "None" 53 "None" "RentFree" 2 "Skilled" 2 "No" "Yes" 508.914543012874
"None" 24 "C" "UsedCar" 3488 "Medium" "Long" 3 "F:DivSepMar" "None" 4 "Car" 23 "None" "Own" 1 "Skilled" 1 "No" "Yes" 633.360918659695
"Small" 18 "C" "Television" 1113 "Low" "Medium" 4 "F:DivSepMar" "Guarantor" 4 "House" 26 "None" "Own" 1 "Unskilled" 2 "No" "Yes" 589.354917067594
"Small" 26 "C" "UsedCar" 7966 "Low" "Short" 2 "M:Single" "None" 3 "Car" 30 "None" "Own" 2 "Skilled" 1 "No" "Yes" 568.459406883034
"None" 15 "E" "Education" 1532 "Medium" "Medium" 4 "F:DivSepMar" "None" 3 "Car" 31 "None" "Own" 1 "Skilled" 1 "No" "Yes" 575.305918126707
"Negative" 36 "C" "Television" 2302 "Low" "Medium" 4 "M:DivSepMar" "None" 4 "Car" 31 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 420.933439437607
"Negative" 6 "C" "NewCar" 662 "Low" "Short" 3 "M:Single" "None" 4 "House" 41 "None" "Own" 1 "Unskilled" 2 "Yes" "Yes" 503.614778498723
"Small" 36 "C" "Education" 2273 "Low" "Long" 3 "M:Single" "None" 1 "Car" 32 "None" "Own" 2 "Skilled" 2 "No" "Yes" 524.062964237996
"Small" 15 "C" "NewCar" 2631 "Medium" "Medium" 2 "F:DivSepMar" "None" 4 "Car" 28 "None" "Rent" 2 "Skilled" 1 "Yes" "Yes" 490.742573598314
"None" 12 "D" "UsedCar" 1503 "Low" "Medium" 4 "F:Single" "None" 4 "House" 41 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 607.114709207297
"None" 24 "C" "Television" 1311 "Medium" "Long" 4 "F:Single" "None" 3 "Savings" 26 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 605.361163349185
"None" 24 "C" "Television" 3105 "Unknown" "Short" 4 "M:Single" "None" 2 "Car" 25 "None" "Own" 2 "Skilled" 1 "No" "Yes" 670.274425374112
"Large" 21 "E" "Education" 2319 "Low" "Short" 2 "M:DivSepMar" "None" 1 "Car" 33 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 528.984117258166
"Negative" 6 "C" "NewCar" 1374 "Unknown" "Unemployed" 4 "F:DivSepMar" "None" 3 "Savings" 75 "None" "Own" 1 "Management:Self" 1 "Yes" "Yes" 537.512595361479
"Small" 18 "E" "Furniture" 3612 "Low" "VeryLong" 3 "F:DivSepMar" "None" 4 "Savings" 37 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 572.57799839455
"Negative" 48 "C" "NewCar" 7763 "Low" "VeryLong" 4 "M:Single" "None" 4 "None" 42 "Bank" "RentFree" 1 "Management:Self" 1 "No" "Yes" 389.064298078599
"Small" 12 "C" "Television" 1534 "Low" "Short" 1 "F:Single" "None" 1 "House" 23 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 706.78192094925
"None" 24 "D" "NewCar" 2032 "Low" "VeryLong" 4 "M:Single" "None" 4 "None" 60 "None" "RentFree" 2 "Skilled" 1 "Yes" "Yes" 547.740031291578
"Negative" 30 "C" "Furniture" 6350 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "Savings" 31 "None" "Own" 1 "Skilled" 1 "No" "Yes" 542.165977153534
"Large" 18 "C" "Furniture" 2864 "Low" "Medium" 2 "M:Single" "None" 1 "House" 34 "None" "Own" 1 "Unskilled" 2 "No" "Yes" 614.981932711496
"None" 12 "E" "NewCar" 1255 "Low" "VeryLong" 4 "M:Single" "None" 4 "House" 61 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 690.103636630275
"Negative" 24 "D" "NewCar" 1333 "Low" "Unemployed" 4 "M:Single" "None" 2 "House" 43 "None" "RentFree" 2 "Skilled" 2 "No" "Yes" 438.299348155635
"None" 24 "E" "NewCar" 2022 "Low" "Medium" 4 "F:DivSepMar" "None" 4 "Car" 37 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 576.120803692923
"None" 24 "C" "Television" 1552 "Low" "Long" 3 "M:Single" "None" 1 "Car" 32 "Bank" "Own" 1 "Skilled" 2 "No" "Yes" 597.316134002989
"Negative" 12 "B" "Television" 626 "Low" "Medium" 4 "F:DivSepMar" "None" 4 "House" 24 "Bank" "Own" 1 "Unskilled" 1 "No" "Yes" 460.655340877433
"None" 48 "E" "UsedCar" 8858 "Unknown" "Long" 2 "M:Single" "None" 1 "None" 35 "None" "RentFree" 2 "Skilled" 1 "Yes" "Yes" 691.079906450095
"None" 12 "E" "Repairs" 996 "Unknown" "Long" 4 "F:DivSepMar" "None" 4 "House" 23 "None" "Own" 2 "Skilled" 1 "No" "Yes" 558.273596204601
"Small" 12 "E" "NewCar" 1995 "Medium" "Short" 4 "M:Single" "None" 1 "Car" 27 "None" "Own" 1 "Skilled" 1 "No" "Yes" 615.396169626791
"Small" 12 "C" "Television" 1331 "Low" "Short" 2 "M:Single" "None" 1 "Car" 22 "Stores" "Own" 1 "Skilled" 1 "No" "Yes" 586.35072030482
"Small" 18 "A" "NewCar" 2278 "Medium" "Short" 3 "F:DivSepMar" "None" 3 "Car" 28 "None" "Own" 2 "Skilled" 1 "No" "Yes" 465.781075692174
"None" 21 "A" "NewCar" 5003 "Unknown" "Medium" 1 "F:DivSepMar" "None" 4 "Savings" 29 "Bank" "Own" 2 "Skilled" 1 "Yes" "Yes" 546.436630686543
"Negative" 24 "B" "Furniture" 3552 "Low" "Long" 3 "M:Single" "None" 4 "Car" 27 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 525.576363289488
"Small" 18 "E" "Furniture" 1928 "Low" "Short" 2 "M:Single" "None" 2 "House" 31 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 663.353256453034
"Negative" 24 "C" "UsedCar" 2964 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "None" 49 "Bank" "RentFree" 1 "Skilled" 2 "Yes" "Yes" 507.076255089537
"Negative" 24 "B" "Television" 1546 "Low" "Long" 4 "M:Single" "Guarantor" 4 "Car" 24 "Bank" "Rent" 1 "Unskilled" 1 "No" "Yes" 484.880319112012
"Large" 6 "D" "Television" 683 "Low" "Short" 2 "F:DivSepMar" "None" 1 "Savings" 29 "Bank" "Own" 1 "Skilled" 1 "No" "Yes" 605.706002433015
"Small" 36 "C" "NewCar" 12389 "Unknown" "Medium" 1 "M:Single" "None" 4 "None" 37 "None" "RentFree" 1 "Skilled" 1 "Yes" "Yes" 522.475536489344
"Small" 24 "D" "Business" 4712 "Unknown" "Medium" 4 "M:Single" "None" 2 "Savings" 37 "Bank" "Own" 2 "Management:Self" 1 "Yes" "Yes" 574.415854110606
"Negative" 12 "C" "NewCar" 1372 "Low" "Long" 2 "M:DivSepMar" "None" 3 "Car" 36 "None" "Own" 1 "Skilled" 1 "No" "Yes" 545.045277337944
"None" 24 "E" "Television" 2578 "VeryLarge" "VeryLong" 2 "M:Single" "None" 2 "Car" 34 "None" "Own" 1 "Skilled" 1 "No" "Yes" 744.713183578888
"Negative" 48 "C" "Television" 6758 "Low" "Medium" 3 "F:DivSepMar" "None" 2 "Car" 31 "None" "Own" 1 "Skilled" 1 "Yes" "Yes" 441.069770511706
"None" 30 "E" "Television" 5954 "Low" "Long" 3 "M:Single" "Coapp" 2 "Car" 38 "None" "Own" 1 "Skilled" 1 "No" "Yes" 619.672386257411
"None" 24 "C" "UsedCar" 5433 "Unknown" "Unemployed" 2 "F:DivSepMar" "None" 4 "Savings" 26 "None" "Rent" 1 "Management:Self" 1 "Yes" "Yes" 649.128461818263
"Small" 9 "C" "Television" 1082 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 27 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 690.182493082168
"None" 15 "E" "Furniture" 2788 "Low" "Long" 2 "F:DivSepMar" "Coapp" 3 "Car" 24 "Bank" "Own" 2 "Skilled" 1 "No" "Yes" 685.346064430791
